Time,Open,High,Low,Last,Change,%Chg,Volume
"2025-09-05 15:55",136.75,136.9099,136.52,136.69,0.31,+0.23%,11624
"2025-09-05 15:50",136.3,136.75,136.3,136.38,0.22,+0.16%,9772
"2025-09-05 15:45",136,136.3,135.76,136.16,0.27,+0.20%,2469
"2025-09-05 15:40",135.99,136.01,135.7614,135.89,0.13,+0.10%,6545
"2025-09-05 15:35",135.97,135.97,135.76,135.76,-0.275,-0.20%,600
"2025-09-05 15:30",136.11,136.18,135.88,136.035,-0.135,-0.10%,13474
"2025-09-05 15:25",136.63,136.68,136.17,136.17,-0.37,-0.27%,4884
"2025-09-05 15:20",136.45,136.6,136.23,136.54,0.12,+0.09%,2831
"2025-09-05 15:15",135.735,136.42,135.735,136.42,0.67,+0.49%,1903
"2025-09-05 15:10",135.6274,136.29,135.62,135.75,-0.31,-0.23%,4174
"2025-09-05 15:05",135.63,136.06,135.63,136.06,0.46,+0.34%,700
"2025-09-05 15:00",135.39,135.675,135.32,135.6,0.455,+0.34%,1478
"2025-09-05 14:55",135.595,135.8354,135.145,135.145,-0.355,-0.26%,9679
"2025-09-05 14:50",135.53,135.8199,135.3281,135.5,-0.03,-0.02%,2016
"2025-09-05 14:45",135.13,135.73,135.12,135.53,0.46,+0.34%,3591
"2025-09-05 14:40",135.02,135.1,134.85,135.07,0.31,+0.23%,3460
"2025-09-05 14:35",134.73,135.13,134.67,134.76,-0.02,-0.01%,5076
"2025-09-05 14:30",135.63,135.63,134.5243,134.78,-0.845,-0.62%,7865
"2025-09-05 14:25",136.47,136.565,135.61,135.625,-1.161,-0.85%,5632
"2025-09-05 14:20",137.21,137.21,136.74,136.786,-0.224,-0.16%,2374
"2025-09-05 14:15",137.38,137.5,136.99,137.01,-0.49,-0.36%,3340
"2025-09-05 14:10",138,138,137.41,137.5,-0.35,-0.25%,500
"2025-09-05 14:05",137.9,138,137.7,137.85,0.14,+0.10%,1833
"2025-09-05 14:00",138.26,138.26,137.71,137.71,-0.4637,-0.34%,4057
"2025-09-05 13:55",138.53,138.53,138.1737,138.1737,-0.1863,-0.13%,1271
