symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GDXU,2025-12-10 09:30:00-05:00,210.62,211.56,209.35,209.4464,10680.0,192.0,210.580965
GDXU,2025-12-10 09:31:00-05:00,210.8482,213.525,210.8482,213.525,11072.0,176.0,212.885098
GDXU,2025-12-10 09:32:00-05:00,213.27,213.27,210.53,210.53,3100.0,58.0,212.316501
GDXU,2025-12-10 09:33:00-05:00,211.32,211.32,209.0,209.0,3027.0,83.0,209.343333
GDXU,2025-12-10 09:35:00-05:00,209.0,209.1092,208.31,209.1092,1931.0,46.0,208.751179
GDXU,2025-12-10 09:36:00-05:00,209.09,209.09,208.74,208.74,667.0,29.0,208.912581
GDXU,2025-12-10 09:37:00-05:00,210.0,210.0,210.0,210.0,1517.0,54.0,210.0
GDXU,2025-12-10 09:38:00-05:00,209.4439,209.4439,208.19,208.19,772.0,50.0,208.857965
GDXU,2025-12-10 09:39:00-05:00,208.03,208.03,207.3164,207.3164,3224.0,98.0,207.864548
GDXU,2025-12-10 09:40:00-05:00,209.215,210.6899,209.215,210.23,3246.0,48.0,210.614704
GDXU,2025-12-10 09:41:00-05:00,211.2519,211.2519,210.895,210.895,1729.0,41.0,211.06476
GDXU,2025-12-10 09:42:00-05:00,210.5156,210.5156,209.94,209.94,421.0,21.0,210.175902
GDXU,2025-12-10 09:43:00-05:00,210.0,210.0,209.54,209.54,621.0,30.0,209.77
GDXU,2025-12-10 09:45:00-05:00,210.7,211.2,210.575,210.73,2722.0,35.0,210.887481
GDXU,2025-12-10 09:46:00-05:00,210.96,211.12,210.73,210.73,1354.0,31.0,210.99109
GDXU,2025-12-10 09:47:00-05:00,211.29,212.0,211.29,211.8,1645.0,22.0,211.900833
GDXU,2025-12-10 09:49:00-05:00,211.89,211.89,211.89,211.89,394.0,23.0,211.89
GDXU,2025-12-10 09:50:00-05:00,213.1689,213.1689,213.1689,213.1689,433.0,25.0,213.1689
GDXU,2025-12-10 09:51:00-05:00,212.8,213.1132,212.79,212.79,868.0,43.0,212.892822
GDXU,2025-12-10 09:52:00-05:00,212.62,213.0,212.62,213.0,8928.0,57.0,212.958011
GDXU,2025-12-10 09:53:00-05:00,213.2461,213.2461,212.385,212.62,2677.0,95.0,212.656252
GDXU,2025-12-10 09:54:00-05:00,211.79,211.79,211.0,211.0,1093.0,40.0,211.444
