Time,Open,High,Low,Last,Change,%Chg,Volume
"2025-09-05 15:55",14.98,14.99,14.93,14.94,-0.0499,-0.33%,704303
"2025-09-05 15:50",14.97,15.01,14.96,14.9899,0.0248,+0.17%,738371
"2025-09-05 15:45",14.97,14.98,14.9501,14.9651,-0.0049,-0.03%,284083
"2025-09-05 15:40",14.9614,14.99,14.95,14.97,0.0001,0.00%,243098
"2025-09-05 15:35",14.97,14.97,14.9397,14.9699,0.0002,0.00%,338362
"2025-09-05 15:30",14.94,14.99,14.94,14.9697,0.0296,+0.20%,281398
"2025-09-05 15:25",14.935,14.9482,14.925,14.9401,0.0051,+0.03%,286334
"2025-09-05 15:20",14.9504,14.9504,14.9201,14.935,-0.02,-0.13%,161364
"2025-09-05 15:15",14.97,14.97,14.93,14.955,-0.0153,-0.10%,400942
"2025-09-05 15:10",14.9701,14.98,14.9601,14.9703,-0.0017,-0.01%,318205
"2025-09-05 15:05",15,15.0002,14.965,14.972,-0.028,-0.19%,437777
"2025-09-05 15:00",14.9997,15.0283,14.995,15,0.009,+0.06%,794209
"2025-09-05 14:55",15.0189,15.0281,14.99,14.991,-0.029,-0.19%,189631
"2025-09-05 14:50",15.015,15.025,15,15.02,0.005,+0.03%,189736
"2025-09-05 14:45",15.0101,15.0299,15.0001,15.015,0.005,+0.03%,462661
"2025-09-05 14:40",15.02,15.0296,15,15.01,-0.012,-0.08%,249733
"2025-09-05 14:35",15.02,15.0377,15.008,15.022,0.012,+0.08%,194836
"2025-09-05 14:30",15.0398,15.04,15,15.01,-0.0299,-0.20%,260868
"2025-09-05 14:25",15.0535,15.07,15.0322,15.0399,-0.0102,-0.07%,217933
"2025-09-05 14:20",15.025,15.0579,15.0201,15.0501,0.0287,+0.19%,151762
"2025-09-05 14:15",15.055,15.06,15.0214,15.0214,-0.0386,-0.26%,260842
"2025-09-05 14:10",15.08,15.0883,15.06,15.06,-0.0203,-0.13%,101071
"2025-09-05 14:05",15.08,15.095,15.0601,15.0803,-0.0047,-0.03%,280833
"2025-09-05 14:00",15.08,15.095,15.0601,15.085,0.005,+0.03%,265975
"2025-09-05 13:55",15.0899,15.108,15.0745,15.08,-0.005,-0.03%,297850
"2025-09-05 13:50",15.081,15.0975,15.065,15.085,0.005,+0.03%,198516
"2025-09-05 13:45",15.08,15.09,15.0515,15.08,0.005,+0.03%,265397
"2025-09-05 13:40",15.045,15.12,15.0401,15.075,0.027,+0.18%,486830
"2025-09-05 13:35",15.02,15.065,15.0101,15.048,0.028,+0.19%,471474
"2025-09-05 13:30",15.03,15.0473,15.015,15.02,-0.01,-0.07%,331255
"2025-09-05 13:25",14.99,15.04,14.988,15.03,0.0399,+0.27%,396023
"2025-09-05 13:20",15,15.0189,14.9801,14.9901,-0.0199,-0.13%,313187
"2025-09-05 13:15",15.0001,15.02,14.9814,15.01,0.008,+0.05%,342084
"2025-09-05 13:10",15.01,15.025,14.9902,15.002,-0.01,-0.07%,343505
"2025-09-05 13:05",15.045,15.065,15.0102,15.012,-0.033,-0.22%,288466
"2025-09-05 13:00",14.9899,15.0451,14.9899,15.045,0.055,+0.37%,465647
"2025-09-05 12:55",15.0399,15.0451,14.99,14.99,-0.0402,-0.27%,259310
"2025-09-05 12:50",15.05,15.058,15.0235,15.0302,-0.0195,-0.13%,248109
"2025-09-05 12:45",15.0099,15.0497,14.99,15.0497,0.0397,+0.26%,293967
"2025-09-05 12:40",15.0551,15.0551,15,15.01,-0.04,-0.27%,236275
"2025-09-05 12:35",15.05,15.075,15.0401,15.05,-0.003,-0.02%,326803
"2025-09-05 12:30",15.035,15.0595,15.0201,15.053,0.0229,+0.15%,304169
"2025-09-05 12:25",15.0098,15.0451,15.0081,15.0301,0.0251,+0.17%,269435
"2025-09-05 12:20",14.9988,15.0573,14.99,15.005,0.005,+0.03%,214102
"2025-09-05 12:15",14.9701,15.0275,14.97,15,0.025,+0.17%,271777
"2025-09-05 12:10",15.01,15.01,14.9703,14.975,-0.0356,-0.24%,212349
"2025-09-05 12:05",15.035,15.065,15.0101,15.0106,-0.0294,-0.20%,230392
"2025-09-05 12:00",15.0403,15.07,15.0101,15.04,-0.005,-0.03%,183282
"2025-09-05 11:55",15.025,15.0699,15.005,15.045,0.0151,+0.10%,280411
"2025-09-05 11:50",14.99,15.0451,14.99,15.0299,0.038,+0.25%,356979
"2025-09-05 11:45",14.9681,15.03,14.9681,14.9919,0.0303,+0.20%,386288
"2025-09-05 11:40",14.9999,15.0019,14.95,14.9616,-0.0334,-0.22%,568071
"2025-09-05 11:35",15.03,15.03,14.9751,14.995,-0.0385,-0.26%,447108
"2025-09-05 11:30",15.005,15.0451,14.995,15.0335,0.0312,+0.21%,455841
"2025-09-05 11:25",15.0412,15.0601,15,15.0023,-0.0377,-0.25%,323639
"2025-09-05 11:20",15.1,15.1,15.0301,15.04,-0.0531,-0.35%,256326
"2025-09-05 11:15",15.095,15.11,15.064,15.0931,-0.0069,-0.05%,329448
"2025-09-05 11:10",15.16,15.205,15.09,15.1,-0.0584,-0.39%,398561
"2025-09-05 11:05",15.145,15.1682,15.11,15.1584,0.0184,+0.12%,207318
"2025-09-05 11:00",15.145,15.175,15.12,15.14,-0.0001,0.00%,332552
"2025-09-05 10:55",15.035,15.15,15.02,15.1401,0.1051,+0.70%,315878
"2025-09-05 10:50",15.1099,15.145,15.0301,15.035,-0.075,-0.50%,489206
"2025-09-05 10:45",15.08,15.1216,15.08,15.11,0.03,+0.20%,309517
"2025-09-05 10:40",15.06,15.1,15.0201,15.08,0.0135,+0.09%,481169
"2025-09-05 10:35",15.0101,15.0799,15.0001,15.0665,0.053,+0.35%,513614
"2025-09-05 10:30",14.9896,15.025,14.9701,15.0135,0.0285,+0.19%,404868
"2025-09-05 10:25",14.9651,15.0165,14.9316,14.985,0.0227,+0.15%,431023
"2025-09-05 10:20",14.9199,14.97,14.8619,14.9623,0.0425,+0.28%,653360
"2025-09-05 10:15",14.8199,14.9199,14.8119,14.9198,0.1048,+0.71%,528513
"2025-09-05 10:10",14.76,14.82,14.7581,14.815,0.055,+0.37%,406688
"2025-09-05 10:05",14.7165,14.77,14.7151,14.76,0.05,+0.34%,242137
"2025-09-05 10:00",14.68,14.7599,14.68,14.71,0.0395,+0.27%,214478
"2025-09-05 09:55",14.6597,14.71,14.6597,14.6705,0.0204,+0.14%,240366
"2025-09-05 09:50",14.6097,14.685,14.6074,14.6501,0.0416,+0.28%,450433
"2025-09-05 09:45",14.6,14.67,14.5901,14.6085,-0.0015,-0.01%,352761
"2025-09-05 09:40",14.635,14.64,14.6,14.61,-0.02,-0.14%,400150
"2025-09-05 09:35",14.63,14.6578,14.62,14.63,-0.01,-0.07%,237345
"2025-09-05 09:30",14.64,14.65,14.595,14.64,-0.15,-1.01%,543394
"2025-09-04 15:55",14.815,14.82,14.78,14.79,-0.03,-0.20%,564318
"2025-09-04 15:50",14.86,14.86,14.81,14.82,-0.0499,-0.34%,562158
"2025-09-04 15:45",14.85,14.87,14.8401,14.8699,0.023,+0.15%,238529
"2025-09-04 15:40",14.8501,14.8599,14.84,14.8469,-0.0054,-0.04%,410062
"2025-09-04 15:35",14.865,14.8799,14.85,14.8523,-0.0176,-0.12%,778077
"2025-09-04 15:30",14.8698,14.88,14.86,14.8699,0.0005,0.00%,1056087
"2025-09-04 15:25",14.8598,14.87,14.85,14.8694,0.0095,+0.06%,1136278
"2025-09-04 15:20",14.8645,14.8699,14.85,14.8599,-0.0002,0.00%,930327
"2025-09-04 15:15",14.8536,14.87,14.85,14.8601,0.0081,+0.05%,490173
"2025-09-04 15:10",14.8795,14.89,14.85,14.852,-0.0279,-0.19%,542831
"2025-09-04 15:05",14.8899,14.89,14.87,14.8799,-0.0051,-0.03%,180953
"2025-09-04 15:00",14.89,14.8999,14.88,14.885,-0.0051,-0.03%,264103
"2025-09-04 14:55",14.8999,14.9,14.89,14.8901,-0.0098,-0.07%,112992
"2025-09-04 14:50",14.8922,14.8999,14.8903,14.8999,0.0049,+0.03%,26614
"2025-09-04 14:45",14.915,14.9199,14.895,14.895,-0.0249,-0.17%,139680
"2025-09-04 14:40",14.915,14.9199,14.9,14.9199,0.0076,+0.05%,283732
"2025-09-04 14:35",14.9001,14.9124,14.9,14.9123,0.0051,+0.03%,191474
"2025-09-04 14:30",14.9199,14.9299,14.9001,14.9072,-0.0127,-0.09%,241876
"2025-09-04 14:25",14.9199,14.92,14.9,14.9199,0,0.00%,116970
"2025-09-04 14:20",14.9097,14.92,14.9097,14.9199,0.0149,+0.10%,279878
"2025-09-04 14:15",14.9099,14.9099,14.89,14.905,-0.005,-0.03%,147705
"2025-09-04 14:10",14.915,14.9199,14.9,14.91,-0.005,-0.03%,269775
"2025-09-04 14:05",14.915,14.9299,14.91,14.915,0,0.00%,206056
"2025-09-04 14:00",14.9221,14.9221,14.91,14.915,-0.0111,-0.07%,133578
"2025-09-04 13:55",14.9101,14.93,14.91,14.9261,0.0062,+0.04%,376925
"2025-09-04 13:50",14.9398,14.94,14.9,14.9199,-0.02,-0.13%,685195
"2025-09-04 13:45",14.95,14.9599,14.93,14.9399,-0.0101,-0.07%,494783
"2025-09-04 13:40",14.96,14.96,14.94,14.95,-0.005,-0.03%,169380
"2025-09-04 13:35",14.9681,14.9681,14.95,14.955,-0.01,-0.07%,198331
"2025-09-04 13:30",14.945,14.9699,14.94,14.965,0.02,+0.13%,168897
"2025-09-04 13:25",14.9504,14.9599,14.94,14.945,-0.0085,-0.06%,177808
"2025-09-04 13:20",14.9604,14.965,14.94,14.9535,-0.0066,-0.04%,535874
"2025-09-04 13:15",14.987,14.987,14.9601,14.9601,-0.0271,-0.18%,79703
"2025-09-04 13:10",14.965,14.99,14.965,14.9872,0.0172,+0.11%,192838
"2025-09-04 13:05",14.9701,14.98,14.95,14.97,-0.01,-0.07%,290849
"2025-09-04 13:00",15.015,15.015,14.97,14.98,-0.0301,-0.20%,96112
"2025-09-04 12:55",14.9879,15.0176,14.98,15.0101,0.0266,+0.18%,83404
"2025-09-04 12:50",14.9899,14.995,14.98,14.9835,-0.0015,-0.01%,82946
"2025-09-04 12:45",15.0083,15.01,14.97,14.985,-0.0249,-0.17%,123337
"2025-09-04 12:40",15.0099,15.0199,15,15.0099,0.0024,+0.02%,168998
"2025-09-04 12:35",15.01,15.0127,14.99,15.0075,-0.0025,-0.02%,264463
"2025-09-04 12:30",15.015,15.0174,14.995,15.01,-0.005,-0.03%,103067
"2025-09-04 12:25",14.995,15.02,14.99,15.015,0.0238,+0.16%,170022
"2025-09-04 12:20",14.98,14.9933,14.97,14.9912,0.0132,+0.09%,249983
"2025-09-04 12:15",14.975,14.9899,14.97,14.978,0.003,+0.02%,142448
"2025-09-04 12:10",14.97,14.98,14.97,14.975,0.005,+0.03%,55469
"2025-09-04 12:05",14.99,14.9979,14.97,14.97,-0.0199,-0.13%,73391
"2025-09-04 12:00",14.9999,15,14.98,14.9899,-0.0077,-0.05%,127328
"2025-09-04 11:55",14.975,15,14.96,14.9976,0.0226,+0.15%,693469
"2025-09-04 11:50",14.9901,15,14.97,14.975,-0.0171,-0.11%,545721
"2025-09-04 11:45",15.0019,15.01,14.98,14.9921,-0.0099,-0.07%,144912
"2025-09-04 11:40",15.01,15.018,14.985,15.002,-0.008,-0.05%,120864
"2025-09-04 11:35",15,15.0199,14.9997,15.01,0.0135,+0.09%,150941
"2025-09-04 11:30",14.9919,15.015,14.99,14.9965,0.0041,+0.03%,264492
"2025-09-04 11:25",15.005,15.005,14.9701,14.9924,-0.0126,-0.08%,675619
"2025-09-04 11:20",15.0029,15.02,14.99,15.005,0,0.00%,839788
"2025-09-04 11:15",15.0499,15.0499,15,15.005,-0.0385,-0.26%,332453
"2025-09-04 11:10",15.0205,15.0586,15.02,15.0435,0.0235,+0.16%,251479
"2025-09-04 11:05",15.03,15.04,15.01,15.02,-0.01,-0.07%,479094
"2025-09-04 11:00",15.03,15.0399,15.01,15.03,-0.0097,-0.06%,296311
"2025-09-04 10:55",15.04,15.0599,15.03,15.0397,0.0047,+0.03%,617196
"2025-09-04 10:50",15.0299,15.055,15.02,15.035,0.0051,+0.03%,383072
"2025-09-04 10:45",15.0535,15.0589,15.0222,15.0299,-0.0301,-0.20%,115961
"2025-09-04 10:40",15.0345,15.06,15.03,15.06,0.025,+0.17%,491016
"2025-09-04 10:35",15.065,15.07,15.02,15.035,-0.035,-0.23%,769295
"2025-09-04 10:30",15.0801,15.0803,15.05,15.07,-0.0199,-0.13%,1306773
"2025-09-04 10:25",15.09,15.11,15.07,15.0899,-0.0001,0.00%,230887
"2025-09-04 10:20",15.1399,15.1399,15.09,15.09,-0.04,-0.26%,277448
"2025-09-04 10:15",15.155,15.185,15.13,15.13,-0.0201,-0.13%,305356
"2025-09-04 10:10",15.158,15.1699,15.11,15.1501,-0.0099,-0.07%,193013
"2025-09-04 10:05",15.14,15.1689,15.13,15.16,0.0199,+0.13%,202381
"2025-09-04 10:00",15.08,15.15,15.07,15.1401,0.0501,+0.33%,369852
"2025-09-04 09:55",15.08,15.0979,15.0698,15.09,0,0.00%,176353
"2025-09-04 09:50",15.0884,15.1,15.06,15.09,0,0.00%,162244
"2025-09-04 09:45",15.07,15.112,15.055,15.09,0.0165,+0.11%,153383
"2025-09-04 09:40",15.095,15.1,15.065,15.0735,-0.0215,-0.14%,142828
"2025-09-04 09:35",15.0802,15.1099,15.05,15.095,0.015,+0.10%,385370
"2025-09-04 09:30",15.11,15.13,15.08,15.08,-0.09,-0.59%,561788
"2025-09-03 15:55",15.21,15.22,15.161,15.17,-0.05,-0.33%,808936
"2025-09-03 15:50",15.25,15.25,15.205,15.22,-0.0355,-0.23%,505779
"2025-09-03 15:45",15.27,15.28,15.24,15.2555,-0.0163,-0.11%,619290
"2025-09-03 15:40",15.295,15.3,15.265,15.2718,-0.0183,-0.12%,244256
"2025-09-03 15:35",15.3165,15.3199,15.29,15.2901,-0.02,-0.13%,287458
"2025-09-03 15:30",15.35,15.3502,15.3101,15.3101,-0.04,-0.26%,159063
"2025-09-03 15:25",15.35,15.36,15.34,15.3501,-0.0098,-0.06%,192488
"2025-09-03 15:20",15.3517,15.37,15.35,15.3599,0,0.00%,212832
"2025-09-03 15:15",15.3721,15.38,15.35,15.3599,-0.0199,-0.13%,590827
"2025-09-03 15:10",15.3699,15.38,15.365,15.3798,0.0116,+0.08%,215833
"2025-09-03 15:05",15.36,15.37,15.345,15.3682,0.0007,0.00%,406457
"2025-09-03 15:00",15.365,15.3874,15.36,15.3675,0.0057,+0.04%,345497
"2025-09-03 14:55",15.3581,15.3799,15.3501,15.3618,0.0018,+0.01%,333202
"2025-09-03 14:50",15.3601,15.3723,15.35,15.36,-0.005,-0.03%,402877
"2025-09-03 14:45",15.35,15.3699,15.335,15.365,0.0051,+0.03%,314077
"2025-09-03 14:40",15.3999,15.4,15.34,15.3599,-0.0328,-0.21%,396441
"2025-09-03 14:35",15.3599,15.3999,15.355,15.3927,0.0327,+0.21%,239965
"2025-09-03 14:30",15.3497,15.38,15.3497,15.36,0.0173,+0.11%,265816
"2025-09-03 14:25",15.36,15.3697,15.335,15.3427,-0.0272,-0.18%,365843
"2025-09-03 14:20",15.365,15.375,15.345,15.3699,0.0078,+0.05%,293701
"2025-09-03 14:15",15.3579,15.3728,15.345,15.3621,0.01,+0.07%,323583
"2025-09-03 14:10",15.3601,15.3714,15.3445,15.3521,-0.01,-0.07%,358867
"2025-09-03 14:05",15.3635,15.385,15.355,15.3621,0.0021,+0.01%,200249
"2025-09-03 14:00",15.3599,15.389,15.345,15.36,0,0.00%,273691
"2025-09-03 13:55",15.3449,15.375,15.3408,15.36,0.0175,+0.11%,281647
"2025-09-03 13:50",15.34,15.3499,15.3101,15.3425,0.0123,+0.08%,359167
"2025-09-03 13:45",15.345,15.3899,15.3279,15.3302,-0.0099,-0.06%,362183
"2025-09-03 13:40",15.2922,15.3422,15.2922,15.3401,0.0474,+0.31%,135469
"2025-09-03 13:35",15.2851,15.2999,15.275,15.2927,0.0106,+0.07%,214066
"2025-09-03 13:30",15.265,15.2879,15.255,15.2821,0.0121,+0.08%,316321
"2025-09-03 13:25",15.2597,15.2899,15.255,15.27,0.0165,+0.11%,122994
"2025-09-03 13:20",15.24,15.2599,15.235,15.2535,0.0085,+0.06%,272615
"2025-09-03 13:15",15.24,15.2499,15.225,15.245,0.0024,+0.02%,218763
"2025-09-03 13:10",15.2713,15.275,15.23,15.2426,-0.029,-0.19%,240621
"2025-09-03 13:05",15.275,15.28,15.263,15.2716,-0.0074,-0.05%,169672
"2025-09-03 13:00",15.2949,15.295,15.265,15.279,-0.016,-0.10%,478153
"2025-09-03 12:55",15.31,15.3101,15.2701,15.295,-0.0151,-0.10%,317224
"2025-09-03 12:50",15.31,15.3299,15.2928,15.3101,-0.0048,-0.03%,519959
"2025-09-03 12:45",15.29,15.32,15.2801,15.3149,0.0247,+0.16%,331131
"2025-09-03 12:40",15.2781,15.31,15.272,15.2902,0.0103,+0.07%,411027
"2025-09-03 12:35",15.258,15.2799,15.2538,15.2799,0.0199,+0.13%,171773
"2025-09-03 12:30",15.25,15.2699,15.245,15.26,0.0099,+0.06%,389699
"2025-09-03 12:25",15.2499,15.2698,15.24,15.2501,0.0036,+0.02%,265306
"2025-09-03 12:20",15.235,15.2499,15.2,15.2465,0.0065,+0.04%,228977
"2025-09-03 12:15",15.2699,15.27,15.24,15.24,-0.0235,-0.15%,70949
"2025-09-03 12:10",15.2498,15.2676,15.2401,15.2635,0.0135,+0.09%,152755
"2025-09-03 12:05",15.2701,15.2779,15.24,15.25,-0.02,-0.13%,288706
"2025-09-03 12:00",15.255,15.29,15.245,15.27,0.01,+0.07%,265061
"2025-09-03 11:55",15.2499,15.275,15.245,15.26,0.0151,+0.10%,175043
"2025-09-03 11:50",15.235,15.2575,15.225,15.2449,0.0049,+0.03%,171436
"2025-09-03 11:45",15.23,15.2599,15.2201,15.24,0.0103,+0.07%,546247
"2025-09-03 11:40",15.22,15.235,15.215,15.2297,-0.0003,0.00%,116252
"2025-09-03 11:35",15.26,15.26,15.23,15.23,-0.0301,-0.20%,277054
"2025-09-03 11:30",15.25,15.2781,15.2319,15.2601,0.0074,+0.05%,425765
"2025-09-03 11:25",15.1862,15.2624,15.1835,15.2527,0.0726,+0.48%,621118
"2025-09-03 11:20",15.175,15.21,15.1731,15.1801,0.0051,+0.03%,497386
"2025-09-03 11:15",15.165,15.185,15.1628,15.175,0.015,+0.10%,277168
"2025-09-03 11:10",15.14,15.1776,15.135,15.16,0.015,+0.10%,218510
"2025-09-03 11:05",15.14,15.16,15.125,15.145,0.005,+0.03%,336283
"2025-09-03 11:00",15.14,15.15,15.13,15.14,0.0032,+0.02%,163368
"2025-09-03 10:55",15.145,15.16,15.135,15.1368,-0.0032,-0.02%,336193
"2025-09-03 10:50",15.145,15.1585,15.1225,15.14,-0.01,-0.07%,217722
"2025-09-03 10:45",15.16,15.1699,15.13,15.15,-0.0117,-0.08%,364367
"2025-09-03 10:40",15.19,15.1901,15.15,15.1617,-0.0382,-0.25%,541865
"2025-09-03 10:35",15.19,15.2099,15.19,15.1999,-0.0001,0.00%,310267
"2025-09-03 10:30",15.2514,15.26,15.1901,15.2,-0.0597,-0.39%,288754
"2025-09-03 10:25",15.225,15.26,15.195,15.2597,0.0298,+0.20%,348202
"2025-09-03 10:20",15.2363,15.2399,15.21,15.2299,-0.01,-0.07%,327476
"2025-09-03 10:15",15.31,15.31,15.2301,15.2399,-0.0701,-0.46%,101673
"2025-09-03 10:10",15.25,15.32,15.225,15.31,0.055,+0.36%,249542
"2025-09-03 10:05",15.2399,15.2681,15.2202,15.255,0.0151,+0.10%,265857
"2025-09-03 10:00",15.285,15.3001,15.225,15.2399,-0.0501,-0.33%,465002
"2025-09-03 09:55",15.25,15.2999,15.25,15.29,0.035,+0.23%,259341
"2025-09-03 09:50",15.24,15.27,15.2046,15.255,0.01,+0.07%,151556
"2025-09-03 09:45",15.21,15.275,15.21,15.245,0.0282,+0.19%,281788
"2025-09-03 09:40",15.2102,15.2499,15.205,15.2168,0.0067,+0.04%,201001
"2025-09-03 09:35",15.2001,15.24,15.1935,15.2101,-0.0098,-0.06%,494821
"2025-09-03 09:30",15.23,15.25,15.2017,15.2199,-0.1801,-1.17%,349729
"2025-09-02 15:55",15.41,15.425,15.3834,15.4,-0.0099,-0.06%,491691
"2025-09-02 15:50",15.45,15.45,15.4,15.4099,-0.0351,-0.23%,446590
"2025-09-02 15:45",15.4498,15.47,15.44,15.445,-0.005,-0.03%,297711
"2025-09-02 15:40",15.45,15.4599,15.43,15.45,0,0.00%,256135
"2025-09-02 15:35",15.4799,15.4875,15.45,15.45,-0.0299,-0.19%,226643
"2025-09-02 15:30",15.48,15.4824,15.46,15.4799,-0.0003,0.00%,189975
"2025-09-02 15:25",15.4992,15.51,15.4701,15.4802,-0.0148,-0.10%,329848
"2025-09-02 15:20",15.4801,15.51,15.47,15.495,0.0149,+0.10%,237034
"2025-09-02 15:15",15.51,15.5179,15.4801,15.4801,-0.0249,-0.16%,234622
"2025-09-02 15:10",15.5201,15.5335,15.5021,15.505,-0.0215,-0.14%,98569
"2025-09-02 15:05",15.53,15.54,15.5218,15.5265,-0.0036,-0.02%,187586
"2025-09-02 15:00",15.5501,15.551,15.5201,15.5301,-0.0298,-0.19%,195192
"2025-09-02 14:55",15.52,15.57,15.5197,15.5599,0.0399,+0.26%,312698
"2025-09-02 14:50",15.57,15.57,15.4901,15.52,-0.05,-0.32%,188194
"2025-09-02 14:45",15.5986,15.6099,15.54,15.57,-0.03,-0.19%,123192
"2025-09-02 14:40",15.58,15.61,15.58,15.6,0.0165,+0.11%,295765
"2025-09-02 14:35",15.5797,15.6,15.5779,15.5835,0.0062,+0.04%,240383
"2025-09-02 14:30",15.58,15.5881,15.555,15.5773,-0.0077,-0.05%,421893
"2025-09-02 14:25",15.5601,15.5881,15.5579,15.585,0.0229,+0.15%,250661
"2025-09-02 14:20",15.575,15.5778,15.5423,15.5621,-0.0097,-0.06%,134402
"2025-09-02 14:15",15.5501,15.5799,15.5497,15.5718,0.0203,+0.13%,227906
"2025-09-02 14:10",15.555,15.5674,15.538,15.5515,-0.0056,-0.04%,394674
"2025-09-02 14:05",15.525,15.5599,15.525,15.5571,0.0321,+0.21%,436224
"2025-09-02 14:00",15.5393,15.5393,15.5001,15.525,-0.0149,-0.10%,162270
"2025-09-02 13:55",15.521,15.5399,15.5128,15.5399,0.015,+0.10%,288550
"2025-09-02 13:50",15.5,15.53,15.4801,15.5249,0.0248,+0.16%,326875
"2025-09-02 13:45",15.5,15.51,15.49,15.5001,0.0002,0.00%,235365
"2025-09-02 13:40",15.5096,15.52,15.495,15.4999,-0.0051,-0.03%,245618
"2025-09-02 13:35",15.538,15.5474,15.5027,15.505,-0.03,-0.19%,399574
"2025-09-02 13:30",15.5802,15.59,15.53,15.535,-0.045,-0.29%,294343
