Time,Open,High,Low,Last,Change,%Chg,Volume
"2025-09-05 15:55",102.04,102.43,102.005,102.41,0.36,+0.35%,1562451
"2025-09-05 15:50",102.21,102.27,101.92,102.05,-0.165,-0.16%,135638
"2025-09-05 15:45",102.185,102.31,102.13,102.215,0.045,+0.04%,66789
"2025-09-05 15:40",102.25,102.3,102.09,102.17,-0.08,-0.08%,30868
"2025-09-05 15:35",102.18,102.41,102.18,102.25,0.07,+0.07%,28360
"2025-09-05 15:30",102.4,102.41,102.04,102.18,-0.2,-0.20%,125077
"2025-09-05 15:25",102.4546,102.4993,102.355,102.38,-0.0617,-0.06%,87353
"2025-09-05 15:20",102.3,102.52,102.2701,102.4417,0.1517,+0.15%,25187
"2025-09-05 15:15",102.19,102.46,102.1807,102.29,0.105,+0.10%,72005
"2025-09-05 15:10",102.19,102.21,102.14,102.185,0.005,0.00%,14190
"2025-09-05 15:05",101.98,102.22,101.98,102.18,0.225,+0.22%,31351
"2025-09-05 15:00",101.98,101.99,101.83,101.955,-0.035,-0.03%,55114
"2025-09-05 14:55",101.8596,102,101.795,101.99,0.1,+0.10%,32042
"2025-09-05 14:50",101.9,101.99,101.81,101.89,0.01,+0.01%,9772
"2025-09-05 14:45",101.91,101.95,101.82,101.88,-0.01,-0.01%,15259
"2025-09-05 14:40",101.87,101.92,101.79,101.89,0.05,+0.05%,21283
"2025-09-05 14:35",101.87,101.935,101.76,101.84,-0.01,-0.01%,12263
"2025-09-05 14:30",101.71,101.98,101.71,101.85,0.13,+0.13%,22495
"2025-09-05 14:25",101.62,101.7493,101.5037,101.72,0.09,+0.09%,15150
"2025-09-05 14:20",101.8295,101.84,101.62,101.63,-0.17,-0.17%,13100
"2025-09-05 14:15",101.58,101.83,101.58,101.8,0.21,+0.21%,19896
"2025-09-05 14:10",101.4,101.59,101.39,101.59,0.1615,+0.16%,12406
"2025-09-05 14:05",101.4342,101.54,101.335,101.4285,0.0385,+0.04%,17564
"2025-09-05 14:00",101.45,101.57,101.35,101.39,-0.05,-0.05%,23659
"2025-09-05 13:55",101.4,101.4946,101.27,101.44,0.05,+0.05%,15288
"2025-09-05 13:50",101.37,101.52,101.34,101.39,-0.06,-0.06%,11493
"2025-09-05 13:45",101.5,101.59,101.39,101.45,-0.0401,-0.04%,21343
"2025-09-05 13:40",101.65,101.68,101.19,101.4901,-0.1799,-0.18%,40800
"2025-09-05 13:35",101.86,101.86,101.54,101.67,-0.18,-0.18%,12130
"2025-09-05 13:30",101.785,101.87,101.7,101.85,0.05,+0.05%,22378
"2025-09-05 13:25",102.08,102.08,101.78,101.8,-0.2601,-0.25%,9688
"2025-09-05 13:20",102.01,102.12,101.94,102.0601,0.0947,+0.09%,27350
"2025-09-05 13:15",101.98,102.1,101.86,101.9654,-0.0046,0.00%,23236
"2025-09-05 13:10",101.9315,102.02,101.8632,101.97,0.04,+0.04%,15894
"2025-09-05 13:05",101.7,101.93,101.57,101.93,0.24,+0.24%,18964
"2025-09-05 13:00",102.05,102.069,101.69,101.69,-0.39,-0.38%,18852
"2025-09-05 12:55",101.71,102.08,101.66,102.08,0.34,+0.33%,20290
"2025-09-05 12:50",101.6806,101.84,101.6,101.74,0.07,+0.07%,15646
"2025-09-05 12:45",101.93,102.04,101.66,101.67,-0.25,-0.25%,41204
"2025-09-05 12:40",101.61,101.97,101.58,101.92,0.29,+0.29%,19655
"2025-09-05 12:35",101.65,101.725,101.495,101.63,0.01,+0.01%,43187
