signal_timestamp,signal_type,signal_symbol,signal_strength,entry_order_id,entry_price,entry_quantity,entry_time,exit_order_id,exit_type,exit_price,exit_quantity,exit_time,pnl,pnl_pct
2026-04-06 14:07:00,SELL,SPY,0.86,,,,,,,,,,,
2026-04-06 14:41:00,SELL,SPXU,0.52,,,,,,,,,,,
2026-04-06 14:44:00,BUY,UPRO,0.54,local-c44d03e1-c9ef-4545-95e6-0b6fe8619fd4,100.27,997,2026-04-06 14:44:00,local-90d42691-f337-4193-8547-56180113ee35,STOP,98.23,997,2026-04-07 10:03:00,-2033.88,-2.0345
2026-04-06 15:14:00,SELL,SPY,0.51,,,,,,,,,,,
2026-04-06 16:17:00,BUY,SPY,0.6,,,,,,,,,,,
2026-04-06 16:51:00,BUY,SPY,0.67,,,,,,,,,,,
2026-04-06 18:07:00,BUY,SPXU,0.53,,,,,,,,,,,
2026-04-06 19:02:00,BUY,UPRO,0.67,,,,,,,,,,,
2026-04-06 19:14:00,SELL,SPY,0.51,,,,,,,,,,,
2026-04-07 00:23:00,SELL,SPY,0.71,,,,,,,,,,,
2026-04-07 00:23:00,SELL,UPRO,0.69,,,,,,,,,,,
2026-04-07 00:25:00,SELL,SPY,0.58,,,,,,,,,,,
2026-04-07 00:25:00,SELL,UPRO,0.55,,,,,,,,,,,
2026-04-07 01:18:00,BUY,SPXU,0.52,,,,,,,,,,,
2026-04-07 01:23:00,BUY,SPXU,0.53,,,,,,,,,,,
2026-04-07 01:27:00,BUY,SPXU,0.57,,,,,,,,,,,
2026-04-07 02:40:00,SELL,SPXU,0.57,,,,,,,,,,,
2026-04-07 02:42:00,BUY,SPY,0.57,,,,,,,,,,,
2026-04-07 02:44:00,SELL,SPXU,0.69,,,,,,,,,,,
2026-04-07 02:44:00,BUY,SPY,0.55,,,,,,,,,,,
2026-04-07 02:44:00,BUY,UPRO,0.66,,,,,,,,,,,
2026-04-07 02:51:00,BUY,SPY,0.56,,,,,,,,,,,
2026-04-07 04:17:00,BUY,UPRO,0.51,,,,,,,,,,,
2026-04-07 04:26:00,SELL,UPRO,0.69,,,,,,,,,,,
2026-04-07 04:30:00,BUY,SPXU,0.51,,,,,,,,,,,
2026-04-07 04:30:00,SELL,SPY,0.53,,,,,,,,,,,
2026-04-07 04:43:00,BUY,SPY,0.72,,,,,,,,,,,
2026-04-07 04:49:00,BUY,UPRO,0.61,,,,,,,,,,,
2026-04-07 04:50:00,BUY,SPY,0.53,,,,,,,,,,,
2026-04-07 05:20:00,BUY,SPY,0.53,,,,,,,,,,,
2026-04-07 05:22:00,SELL,SPXU,0.69,,,,,,,,,,,
2026-04-07 05:51:00,BUY,SPY,0.59,,,,,,,,,,,
2026-04-07 05:51:00,BUY,UPRO,0.59,,,,,,,,,,,
2026-04-07 06:13:00,SELL,SPXU,0.57,,,,,,,,,,,
2026-04-07 06:13:00,BUY,SPY,0.55,,,,,,,,,,,
2026-04-07 06:13:00,BUY,UPRO,0.57,,,,,,,,,,,
2026-04-07 06:22:00,BUY,SPXU,0.71,,,,,,,,,,,
2026-04-07 06:22:00,SELL,SPY,0.73,,,,,,,,,,,
2026-04-07 06:22:00,SELL,UPRO,0.7,,,,,,,,,,,
2026-04-07 06:25:00,SELL,UPRO,0.7,,,,,,,,,,,
2026-04-07 07:03:00,BUY,UPRO,0.68,,,,,,,,,,,
2026-04-07 07:09:00,BUY,UPRO,0.76,,,,,,,,,,,
2026-04-07 08:54:00,SELL,SPY,0.52,,,,,,,,,,,
2026-04-07 09:21:00,BUY,UPRO,0.51,,,,,,,,,,,
2026-04-07 10:08:00,SELL,SPXU,0.55,,,,,,,,,,,
2026-04-07 10:08:00,BUY,SPY,0.52,,,,,,,,,,,
2026-04-07 10:43:00,SELL,SPXU,0.55,,,,,,,,,,,
2026-04-07 10:43:00,BUY,UPRO,0.61,local-a5264f8e-6967-4118-ba52-00c41e7ca471,99.1001,988,2026-04-07 10:43:00,local-602dd38f-5df9-449e-ac9d-82c268cbeb28,PROFIT,101.18,988,2026-04-07 12:03:00,2054.9412,2.0988
2026-04-07 13:05:00,BUY,UPRO,0.71,local-5fc226f2-5444-477e-af7b-055b3aa87d1b,99.69,1003,2026-04-07 13:05:00,local-21d82a0e-03f6-4d06-84ac-62c7ab214b3a,PROFIT,101.68,1003,2026-04-07 13:59:00,1995.97,1.9962
2026-04-07 13:37:00,BUY,SPXU,0.66,,,,,,,,,,,
2026-04-07 14:06:00,SELL,UPRO,0.56,,,,,,,,,,,
2026-04-07 14:07:00,BUY,SPXU,0.53,,,,,,,,,,,
2026-04-07 14:13:00,BUY,SPXU,0.55,,,,,,,,,,,
2026-04-07 15:04:00,SELL,SPY,0.58,,,,,,,,,,,
2026-04-07 15:22:00,SELL,SPY,0.61,,,,,,,,,,,
2026-04-07 15:26:00,SELL,SPY,0.66,,,,,,,,,,,
2026-04-07 15:31:00,SELL,SPY,0.51,,,,,,,,,,,
2026-04-07 15:39:00,BUY,SPY,0.57,,,,,,,,,,,
2026-04-07 16:24:00,SELL,SPXU,0.55,,,,,,,,,,,
2026-04-07 19:04:00,BUY,SPXU,0.66,,,,,,,,,,,
2026-04-07 19:04:00,SELL,SPY,0.58,,,,,,,,,,,
2026-04-07 19:04:00,SELL,UPRO,0.72,,,,,,,,,,,
2026-04-07 19:06:00,BUY,SPXU,0.58,,,,,,,,,,,
2026-04-07 19:22:00,SELL,SPY,0.61,,,,,,,,,,,
2026-04-07 19:26:00,SELL,SPY,0.66,,,,,,,,,,,
2026-04-07 19:31:00,SELL,SPY,0.51,,,,,,,,,,,
2026-04-07 19:39:00,BUY,SPY,0.57,,,,,,,,,,,
2026-04-08 00:20:00,SELL,SPY,0.58,,,,,,,,,,,
2026-04-08 00:58:00,SELL,SPY,0.72,,,,,,,,,,,
2026-04-08 01:02:00,SELL,SPY,0.51,,,,,,,,,,,
2026-04-08 01:19:00,SELL,SPY,0.64,,,,,,,,,,,
2026-04-08 01:22:00,SELL,SPY,0.5,,,,,,,,,,,
2026-04-08 02:29:00,SELL,SPY,0.63,,,,,,,,,,,
2026-04-08 02:34:00,SELL,SPY,0.54,,,,,,,,,,,
2026-04-08 03:23:00,BUY,SPXU,0.58,,,,,,,,,,,
2026-04-08 04:39:00,SELL,SPY,0.5,,,,,,,,,,,
2026-04-08 07:43:00,SELL,SPY,0.67,,,,,,,,,,,
2026-04-08 07:44:00,SELL,UPRO,0.53,,,,,,,,,,,
2026-04-08 07:48:00,BUY,SPXU,0.62,,,,,,,,,,,
2026-04-08 07:48:00,SELL,SPY,0.63,,,,,,,,,,,
2026-04-08 07:52:00,SELL,SPY,0.57,,,,,,,,,,,
2026-04-08 07:54:00,BUY,SPXU,0.77,,,,,,,,,,,
2026-04-08 07:54:00,SELL,SPY,0.7,,,,,,,,,,,
2026-04-08 07:54:00,SELL,UPRO,0.66,,,,,,,,,,,
2026-04-08 07:56:00,SELL,UPRO,0.61,,,,,,,,,,,
2026-04-08 07:58:00,SELL,SPY,0.67,,,,,,,,,,,
2026-04-08 08:18:00,BUY,UPRO,0.68,,,,,,,,,,,
2026-04-08 08:34:00,BUY,SPXU,0.6,,,,,,,,,,,
2026-04-08 08:34:00,SELL,SPY,0.75,,,,,,,,,,,
2026-04-08 08:36:00,SELL,SPY,0.62,,,,,,,,,,,
2026-04-08 08:38:00,SELL,SPY,0.54,,,,,,,,,,,
2026-04-08 08:42:00,BUY,SPXU,0.65,,,,,,,,,,,
2026-04-08 08:42:00,SELL,SPY,0.68,,,,,,,,,,,
2026-04-08 08:42:00,SELL,UPRO,0.53,local-5883177c-47d6-41bf-a4c6-8784f5078fd9,108.155,943,2026-04-08 09:30:00,local-816b8161-5882-4513-82c5-0960fc3f05df,PROFIT,110.3724,943,2026-04-09 09:30:00,2091.0082,2.0502
2026-04-08 08:49:00,BUY,SPXU,0.54,,,,,,,,,,,
2026-04-08 08:49:00,SELL,SPY,0.56,,,,,,,,,,,
2026-04-08 08:49:00,SELL,UPRO,0.51,,,,,,,,,,,
2026-04-08 08:51:00,SELL,UPRO,0.51,,,,,,,,,,,
2026-04-08 08:52:00,BUY,SPXU,0.64,,,,,,,,,,,
2026-04-08 08:52:00,SELL,SPY,0.62,,,,,,,,,,,
2026-04-08 08:58:00,BUY,SPXU,0.51,,,,,,,,,,,
2026-04-08 09:53:00,SELL,SPY,0.57,,,,,,,,,,,
2026-04-08 10:02:00,BUY,SPXU,0.61,,,,,,,,,,,
2026-04-08 10:04:00,BUY,SPXU,0.76,,,,,,,,,,,
2026-04-08 10:06:00,SELL,SPY,0.66,,,,,,,,,,,
2026-04-08 10:06:00,SELL,UPRO,0.77,,,,,,,,,,,
2026-04-08 10:42:00,SELL,SPXU,0.58,,,,,,,,,,,
2026-04-08 10:42:00,BUY,SPY,0.55,,,,,,,,,,,
2026-04-08 10:45:00,SELL,SPXU,0.78,,,,,,,,,,,
2026-04-08 10:45:00,BUY,SPY,0.73,,,,,,,,,,,
