symbol,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,duration_hrs,is_bracket,bracket_exit_type,entry_order_id,exit_order_id
UPRO,2026-04-06 14:44:00,2026-04-07 10:03:00,100.27,98.23,997,-2033.88,-2.0345,19.317,True,STOP,local-c44d03e1-c9ef-4545-95e6-0b6fe8619fd4,local-90d42691-f337-4193-8547-56180113ee35
UPRO,2026-04-07 10:43:00,2026-04-07 12:03:00,99.1001,101.18,988,2054.9412,2.0988,1.333,True,PROFIT,local-a5264f8e-6967-4118-ba52-00c41e7ca471,local-602dd38f-5df9-449e-ac9d-82c268cbeb28
UPRO,2026-04-07 13:05:00,2026-04-07 13:59:00,99.69,101.68,1003,1995.97,1.9962,0.9,True,PROFIT,local-5fc226f2-5444-477e-af7b-055b3aa87d1b,local-21d82a0e-03f6-4d06-84ac-62c7ab214b3a
UPRO,2026-04-08 09:30:00,2026-04-09 09:30:00,108.155,110.3724,943,2091.0082,2.0502,24.0,True,PROFIT,local-5883177c-47d6-41bf-a4c6-8784f5078fd9,local-816b8161-5882-4513-82c5-0960fc3f05df
UPRO,2026-04-10 09:30:00,2026-04-13 11:21:00,109.7,112.0598,947,2234.7306,2.1511,73.85,True,PROFIT,local-8c764fd3-ecf4-4dab-8c74-23e53c9ca347,local-7d6e0a96-be75-40a2-a9e7-ff088de11aa8
UPRO,2026-04-14 09:30:00,2026-04-14 09:31:00,117.0491,117.1,908,46.2172,0.0435,0.017,True,PROFIT,local-766c72aa-0547-4581-81e7-63b5c46270ad,local-ddb1cbcd-adff-41c8-b273-f16de1c13a57
UPRO,2026-04-15 09:30:00,2026-04-16 11:52:00,118.87,121.0,895,1906.35,1.7919,26.367,True,PROFIT,local-b6650bed-ef5f-4c56-b8a5-41efcde9b860,local-c9701d27-13ba-408d-b709-35b59d62d6db
UPRO,2026-04-16 13:07:00,2026-04-17 09:30:00,120.36,125.28,899,4423.08,4.0877,20.383,True,PROFIT,local-3e76ceeb-9bb4-4745-af35-717b75064cc8,local-99c96ff9-3924-4c0f-8878-ed517ad68d87
UPRO,2026-04-17 11:14:00,2026-04-21 09:30:00,124.77,122.49,903,-2058.84,-1.8274,94.267,True,STOP,local-751564b4-59cd-411d-850e-4677374dcb52,local-7e0ad253-2438-47c9-b469-ed6fef2b9b7f
UPRO,2026-04-21 10:29:00,2026-04-22 09:30:00,122.56,125.2,902,2381.28,2.154,23.017,True,PROFIT,local-c88aa1fd-e2d5-4b64-9ce9-cb94363c70dd,local-ac942f54-183e-4bf7-8159-37607791e4c3
UPRO,2026-04-22 12:21:00,2026-04-23 09:30:00,125.33,122.998,901,-2101.132,-1.8607,21.15,True,STOP,local-c77ec8d9-f001-462d-972f-f20c3f45559f,local-dca07c3c-1f8e-4d4e-992b-68ee12ef31f9
UPRO,2026-04-23 10:52:00,2026-04-23 13:41:00,124.01,122.07,894,-1734.36,-1.5644,2.817,True,STOP,local-4be68f43-fce7-4d12-9163-6c8a8a5c6ef5,local-2e7fe274-5b80-4c78-8710-f08307cdc55a
UPRO,2026-04-24 09:30:00,2026-04-24 09:31:00,126.46,126.4099,863,-43.2363,-0.0396,0.017,True,PROFIT,local-6934167d-013b-4124-a467-01f0db4699b7,local-7ce769f2-96a1-487c-9d6a-986648b9424b
UPRO,2026-04-24 10:23:00,2026-04-28 12:35:00,126.4932,124.585,862,-1644.8684,-1.5085,98.2,True,STOP,local-0fa5a588-d597-464b-b0fd-13e8daba3f7f,local-ac0cac37-23a4-4e87-bcd1-4c306a7b1eb7
UPRO,2026-04-28 13:11:00,2026-04-30 09:30:00,124.7,128.16,862,2982.52,2.7747,44.317,True,PROFIT,local-d01f7bb5-fb58-4753-adce-c46b126d6783,local-3313d471-4463-4792-9a60-34380bec6b26
UPRO,2026-05-01 09:30:00,2026-05-04 12:07:00,130.59,127.91,846,-2267.28,-2.0522,74.617,True,STOP,local-69973864-c0ab-4d24-8222-e223a738bdd0,local-1bb401f6-1ffc-43c0-85b2-6c2f631b9340
UPRO,2026-05-04 12:57:00,2026-05-05 09:30:00,128.05,130.84,845,2357.55,2.1788,20.55,True,PROFIT,local-7851e144-93ac-4679-a2f4-2592e3adf6e7,local-70126c6b-0d21-4859-ac4a-79d0c84329fc
UPRO,2026-05-05 10:39:00,2026-05-06 09:30:00,131.3001,134.19,842,2433.2958,2.201,22.85,True,PROFIT,local-fc9b042a-b333-4b6a-81a3-c6aabaf649fc,local-d1902734-8ad6-4d5d-8bcb-39c49405cd3a
UPRO,2026-05-06 14:49:00,2026-05-11 09:44:00,136.8486,139.67,825,2327.655,2.0617,114.917,True,PROFIT,local-fd8e7811-d1a7-4145-8be8-548648c51793,local-9f5433e2-da5e-40aa-badd-5b9a80b5cf30
UPRO,2026-05-11 13:15:00,2026-05-12 09:51:00,140.09,137.985,823,-1732.415,-1.5026,20.6,True,STOP,local-6ad763f0-17a7-4b2b-85e2-05c2effb3b3a,local-0b7962e6-37eb-43fc-870f-ea26a600d7ec
UPRO,2026-05-12 10:58:00,2026-05-12 15:53:00,137.06,139.87,828,2326.68,2.0502,4.917,True,PROFIT,local-20b206cc-10d3-4de5-a1da-113d01cf2016,local-a63b750b-96ce-42dd-b102-371d668f8c47
UPRO,2026-05-13 09:30:00,2026-05-13 13:01:00,139.27,141.935,832,2217.28,1.9135,3.517,True,PROFIT,local-8ee3dfeb-7fd3-49d0-ad27-8d7e29d6db59,local-bd18f7be-c87b-48d6-858e-8272a7e603aa
